02 12 2017, 0.00, 4.88
03 12 2017, 0.00, 11.42
04 12 2017, 0.00, 10.46
05 12 2017, 1.88, 9.58
06 12 2017, 0.00, 9.24
07 12 2017, 0.00, 6.82
08 12 2017, 0.00, 11.85
09 12 2017, 0.00, 9.61
10 12 2017, 0.00, 4.12
11 12 2017, 0.00, 20.06
12 12 2017, 0.00, 20.49
13 12 2017, 0.00, 8.62
14 12 2017, 0.00, 13.90
15 12 2017, 0.00, 17.28
16 12 2017, 0.00, 10.04
17 12 2017, 0.00, 7.32
18 12 2017, 0.00, 5.97
19 12 2017, 0.00, 4.30
20 12 2017, 0.00, 6.87
21 12 2017, 0.00, 6.98
22 12 2017, 0.00, 10.23
23 12 2017, 0.00, 13.53
24 12 2017, 0.00, 14.96
25 12 2017, 0.00, 8.88
26 12 2017, 0.00, 10.23
27 12 2017, 2.17, 13.31
28 12 2017, 0.00, 15.71
29 12 2017, 0.00, 9.20
30 12 2017, 0.00, 8.15
31 12 2017, 0.00, 21.55
